index,FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),"Preservative (Formalin, Acid Lugol's, Slide)",Cruise/ Expedition ID,Cruise/Expedition Name,Collection date (MM/DD/YY),Field Sample Name,Dive No./ Station No./ Cast No.,Sampling method,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),Latitude,Longitude,Start time (local),End time (local),Start time (UTC),End time (UTC),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (µM),Other chem,Other chem (units X),Field Notes,Personnel Responsible for Collecting Sample,Sample Location in Lab,Station #,Net #,Date (UTC) ,Target Depth (m),Time 1 (UTC) ,Latitude 1,Longitude 1,GPS SOG 1,Wind Speed 1 (knots),Water Temp 1 (deg C) ,Bottom Depth 1 (m) ,Time 2 (UTC) ,Latitude 2,Longitude 2,GPS SOG 2,Wind Speed 2 (knots),Water Temp 2 (deg C) ,Bottom Depth 2,Time 3 (UTC) ,Latitude 3,Longitude 3,GPS SOG 3,Wind Speed 3 (knots),Water Temp 3 (deg C) ,Bottom Depth 3,Total Time In Water ,Sea State,Sampler(s),Flow Meter Type,Flow Meter SN,Flow Meter Start,Flow Meter End,Pressure Sensor SN,Pressure Sensor File Name,Actual Depth Reached (m),Number of 250 ml Ethanol Preservations,Number of 500 ml Ethanol Preservations,Number of 250 ml Formalin Preservations,Number of 500 ml Formalin Preservations,Comments,tow_type,Flow Meter 1 SN,Flow Meter 1 location,Flow Meter 1 Average Spin,Flow Meter 1 Start,Flow Meter 1 End,Flow Meter  1 Difference,Flow Meter 2 SN,Flow Meter 2 location,Flow Meter 2 Average Spin,Flow Meter 2 Start,Flow Meter 2 End,Flow Meter 2 Difference,Total Wire Out Required (m),Deployment Winch Speed (m/min),Recovery Winch Speed (m/min),Depth 1 (m),Time at Depth 1 (min),Depth 2 (m),Time at Depth 2 (min),"Wire Out, Wire Angle Pairings (m/°)",Number of 250 ml Ethanol Preservations (100) ,Number of 500 ml Ethanol Preservations (100),Number of 250 ml Ethanol Preservations (200) ,Number of 500 ml Ethanol Preservations (200),Time at Depth 1 (MM:ss),Number of 250 ml Ethanol Preservations (335-1),Number of 500 ml Ethanol Preservations (335-1),Number of 250 ml Formalin Preservations (335-2),Number of 500 ml Formalin Preservations (335-2),Negative_control
0,P101.E.WCOA21,101,,E,WCOA21,WCOA 2021,7/1/21,WCOA 1.P,CR24,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CR24,V200_CR24,1-Jul-21,100,6:53,46 07.5864 N,124 31.7617 W,0.4,6.89,16.748,135.15,6:57,46 07.5790 N,124 31.7754 W,0.4,7,16.75,136.09,7:01,46 07.5393 N,124 31.7997 W,0.5,6.49,16.767,135.6,0:08,6-8,"MMS, NG, ST",TSK,7408,0,632,U-16474,V200_CR24_pressure,99.25,1,0,NA,NA,bit of a wire angle during descent; not fully vertical ,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
3,P102.E.WCOA21,102,,E,WCOA21,WCOA 2021,7/2/21,WCOA 2.P,C41,Vertical 200,,,,,,,,,,,,,,,,,,,,,,C41,V200_C41,2-Jul-21,100,7:12,47 06.8942 N,125 12.0152 W,0.8,9.53,15.934,1576.78,7:17,47 06.8947 N,125 12.0190 W,0.5,12.1,15.932,1571.44,7:21,47 06.8940 N,125 12.0166 W,0.4,11.05,15.924,1570.74,0:09,4-6,"MMS, JC, BD",TSK,7408,0,744,U-16474,V200_C41_pressure,97.86,1,0,NA,NA,wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
7,P103.E.WCOA21,103,,E,WCOA21,WCOA 2021,7/2/21,WCOA 3.P,C41,Bongo 200,,,,,,,,,,,,,,,,,,,,,,C41,B100-200_C41,2-Jul-21,100,9:21,47 06.1049 N,125 11.6295 W,1.7,13.88,15.545,1563.06,9:27,47 05.9320 N,125 11.6465 W,1.8,9,15.552,1535.52,9:34,47 05.7227 N,125 11.6985 W,1.7,12.95,15.446,1494.87,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_C41_pressure,104.07,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,125112,149635,24523,B30497,200  µm (inboard),121.25,149054,173823,24769,141,30,20,100,0,NA,NA,"75/46, 141/49, 75/50, 0/25",0,1,0,1,,,,,,FALSE
9,P104.E.WCOA21,104,,E,WCOA21,WCOA 2021,7/3/21,WCOA 4.P,Ecola,Vertical 200,,,,,,,,,,,,,,,,,,,,,,Ecola,V200_Ecola,3-Jul-21,50,5:52,45 55.0347 N ,124 05.0735 W,0.3,12.47,17.029,71.3,5:54,45 55.0347 N ,124 05.0819 W,0.3,11.77,17.028,71.4,5:57,45 55.0331 N,124 05.0935 W,0.6,11.27,17.032,71.31,0:05,2-3,"MMS, NG, ST",TSK,7408,0,334,U-16474,V200_Ecola_pressure,49.21,1,0,NA,NA,strong wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
10,P105.E.WCOA21,105,,E,WCOA21,WCOA 2021,7/4/21,WCOA 5.P,NH10,Vertical 200,,,,,,,,,,,,,,,,,,,,,,NH10,V200_NH10,4-Jul-21,50,6:04,44 39.2402 N,124 17.6719 W,0.6,14.23,13.649,75.95,6:07,44 39.2402 N,124 17.6471 W,0.5,13.77,13.648,76.65,6:10,44 39.2404 N,124 17.6477 W,0.2,16.11,13.629,75.92,0:06,6-8,"MMS, NG, ST",TSK,7408,0,257,U-16474,V200_NH10_pressure,45.87,1,0,NA,NA,net drifting inboard on ship during deployment,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
13,P106.E.WCOA21,106,,E,WCOA21,WCOA 2021,7/5/21,WCOA 6.P,HH20,Vertical 200,,,,,,,,,,,,,,,,,,,,,,HH20,V200_HH20,5-Jul-21,100,7:17,44 00.0410 N,124 36.0374 W,0.6,21.37,14.178,149.81,7:21,44 00.0419 N,124 36.0757 W,0.5,17.55,14.181,146.64,7:25,44 00.0412 N,124 36.1036 W,0.4,15.38,14.177,146.32,0:08,4-6,"MMS, NG, BD",TSK,7408,0,688,U-16474,V200_HH20_pressure,96.83,0,1,NA,NA,strong wind; wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
17,P107.E.WCOA21,107,,E,WCOA21,WCOA 2021,7/5/21,WCOA 7.P,HH20,Bongo 200,,,,,,,,,,,,,,,,,,,,,,HH20,B100-200_HH20,5-Jul-21,100,9:24,43 59.7262 N,124 36.7654 W,1.2,19.46,14.205,147.98,9:29,43 59.8414 N,124 36.9323 W,1.7,17.5,14.2,143.36,9:37,44 00.0381 N,124 37.0417 W,1.8,16.06,14.217,144.39,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_HH20_pressure,105.2,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,159177,184111,24934,B30497,200  µm (inboard),121.25,191458,217177,25719,141,30,20,100,0,NA,NA,"75/40, 141/46, 75/50, 0/51",0,1,0,1,,,,,,FALSE
23,P109.E.WCOA21,109,,E,WCOA21,WCOA 2021,7/10/21,WCOA 9.P,PA3,Bongo 200,,,,,,,,,,,,,,,,,,,,,,PA3,B100-200_PA3,10-Jul-21,75,8:07,38 54.1118 N,123 47.7328 W,1.8,22.96,10.818,94.40,8:11,38 54.1913 N,123 47.8076 W,1.3,22.14,10.833,95.38,8:15,38 54.2729 N,123 47.8769 W,0.8,21.55,10.826,96.18,0:08,8-10,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_PA3_pressure,87.61,,,,,surface current; high wire angle near surface,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,223449,232365,8916,B30497,200  µm (inboard),121.25,263108,283247,20139,106,30,30,75,0,NA,NA,"75/47, 106/46, 75/53, 0/49",0,1,1,0,,,,,,FALSE
25,P110.E.WCOA21,110,,E,WCOA21,WCOA 2021,7/14/21,WCOA 10.P,ML60,Vertical 200,,,,,,,,,,,,,,,,,,,,,,ML60,V200_ML60,14-Jul-21,100,7:03,36 27.0634 N,122 46.1841 W,0.6,16.22,14.801,2920.28,7:07,36 27.0321 N,122 46.2038 W,0.5,14.45,14.809,2922.99,7:11,36 27.0038 N,122 46.2231 W,0.6,14.90,14.781,2925.81,0:08,6-8,"MMS, CI, BD",TSK,7408,0,945,U-16474,V200_ML60_pressure,86.13,1,0,NA,NA,"TSK soaked in freshwater last night, seems to be spinning well; net drifting forward of science deck on recovery (strong current?) ",Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
28,P111.E.WCOA21,111,,E,WCOA21,WCOA 2021,7/16/21,WCOA 11.P,73.3-70,Vertical 200,,,,,,,,,,,,,,,,,,,,,,73.3-70,V200_73.3-70,16-Jul-21,100,9:12,34 58.2849 N,122 39.2520 W,0.3,18.93,15.046,4060.07,9:16,34 58.2708 N,122 39.2879 W,0.4,18.63,15.043,4060.78,9:20,34 58.2619 N,122 39.3125 W,0.4,15.77,15.041,4059.56,0:08,4-6,"MMS, CI, BD",TSK,7408,0,733,U-16474,V200_73.3-70_pressure,93.89,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
31,P112.E.WCOA21,112,,E,WCOA21,WCOA 2021,7/17/21,WCOA 12.P,CCE1,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CCE1,V200_CCE1,17-Jul-21,100,6:54,33 28.5186 N,122 31.8029 W,0.4,18.15,16.706,3988.94,6:58,33 28.5182 N,122 31.8166 W,0.2,18.86,16.702,3989.54,7:02,33 28.5161 N,122 31.8193 W,0.2,21.82,16.698,3989.13,0:08,4-6,"MMS< CI, BD",TSK,7408,0,641,U-16474,V200_CCE1_pressure,98.81,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
34,P113.E.WCOA21,113,,E,WCOA21,WCOA 2021,7/18/21,WCOA 13.P,CCE2,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CCE2,V200_CCE2,18-Jul-21,100,5:02,34 18.6208 N,120 48.2207 W,0.3,17.66,14.995,760.19,5:06,34 18.6120 N,120 48.2398 W,0.3,15.95,15.011,765.03,5:10,34 18.6055 N,120 48.2315 W,0.5,15.40,15.017,758.20,0:08,3-4,"MMS, CI, ST",TSK,7408,0,843,U-16474,V200_CCE2_pressure,95.68,0,1,,,small tangle near cod end; net came up under the ship and scraped the side (some barnacles in the cod end) ,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
37,P114.E.WCOA21,114,,E,WCOA21,WCOA 2021,7/19/21,WCOA 14.P,SCORP,Vertical 200,,,,,,,,,,,,,,,,,,,,,,SCORP,V200_SCORP,19-Jul-21,50,9:24,34 04.2836 N,119 31.6418 W,0.2,1.18,19.677,76.04,9:26,34 04.2744 N,119 31.6404 W,0.2,0.53,19.680,75.86,9:28,34 04.2672 N,119 31.6430 W,0.2,1.13,19.681,75.93,0:04,0-1,"MMS, NG, CI, BD",TSK,7408,0,307,U-16474,V200_SCORP_pressure,48.16,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
41,P115.E.WCOA21,115,,E,WCOA21,WCOA 2021,7/21/21,WCOA 15.P,90-35,Bongo 200,,,,,,,,,,,,,,,,,,,,,,90-35,B100-200_90-35,21-Jul-21,100,6:08,33 14.2485 N,118 16.5831 W,1.7,12.73,20.457,1061.89,6:13,33 14.1754 N,118 16.7485 W,1.6,13.91,20.481,1103.87,6:21,33 14.0784 N,118 16.9544 W,1.6,13.63,20.466,1137.29,0:13,0-3,"MMS, NG, CI, ST",General Oceanics,,,,U-16454,B100-200_90-35_pressure,97.78,,,,,"Did not record flow meter readings at start of tow, so using final readings from tow on previous day",Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,436592,455695,19103,B30497,200  µm (inboard),121.25,518235,542570,24335,141,30,20,100,0:15,NA,NA,"75/48, 141/47, 75/49, 0/39",1,0,1,0,,,,,,FALSE
43,P116.E.WCOA21,116,,E,WCOA21,,,V200_QC43_EtOH,QC43,Vertical 200,,,,,,,,,,,,,,,,,,,,,,QC43,V200_QC43,26-Jun-21,100,6:54,52 01.0266 N,129 58.2913 W,0.5,22.3,DNR,127.91,6:58,52 01.0266 N,129 58.2960 W,0.2,20.9,DNR,127.69,7:01,52 01.0239 N,129 58.2948 W,0.3,21.85,DNR,127.86,0:07,4-6,"MMS, KC, ST",TSK,7408,0,1081,U-16474,V200-1_QC43_pressure,86.48,1,0,1,0,TSK visibly spinning in wind on recovery,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
46,P117.E.WCOA21,117,,E,WCOA21,,,V200_BS64_EtOH,BS64,Vertical 200,,,,,,,,,,,,,,,,,,,,,,BS64,V200_BS64,27-Jun-21,100,8:20,48 11.1203 N,126 36.1660 W,0.4,7.25,15.304,2481.42,8:24,48 11.1191 N,126 36.1672 W,0.4,7.32,15.31,2481.69,8:28,48 11.1193 N,126 36.1732 W,0.5,7.14,15.298,2481.77,0:08,2-4,"MMS, NG, BD",TSK,7408,0,641,U-16474,V200_BS64_pressure,96.3,1,0,NA,NA,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
49,P118.E.WCOA21,118,,E,WCOA21,,,V200_BS14_EtOH,BS14,Vertical 200,,,,,,,,,,,,,,,,,,,,,,BS14,V200_BS14,28-Jun-21,100,3:16,48 43.1776N,125 40.5677W,0.5,9.86,16.528,162.77,3:20,48 43.1750N,125 40.5724W,0.3,10.66,17.139,162.7,3:24,48 43.1763N,125 40.5744W,0.3,10.01,16.134,159.13,0:08,0-2,"MMS, JC, ST",TSK,7408,0,761,U-16474,V200_BS14_pressure,92.11,1,0,NA,NA,towing at a sight angle,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
50,P119.E.WCOA21,119,,E,WCOA21,,,V200_BS6 _EtOH,BS6,Vertical 200,,,,,,,,,,,,,,,,,,,,,,BS6,V200_BS6 ,28-Jun-21,80,6:44,48 48.6375 N,125 31.1443 W,0.4,5.44,16.705,104.76,6:47,48 48.6455 N,125 31.1656 W,0.4,6.09,16.839,107.04,6:50,48 48.6516 N,125 31.1839 W,0.4,7.08,16.457,105.5,0:06,0-2,"MMS, JC, ST",TSK,7408,0,518,U-16474,V200_BS6_pressure,78.65,1,0,NA,NA,very visible algae clogging,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
53,P120.E.WCOA21,120,,E,WCOA21,,,V200-2_ChaBa_EtOH,ChaBa,Vertical 200,,,,,,,,,,,,,,,,,,,,,,ChaBa,V200-2_ChaBa,29-Jun-21,70,6:18,47 58.7719 N,124 56.5312 W,0.4,14.92,15.108,91.1,6:21,47 58.7782 N,124 56.5102 W,0.5,14.02,15.062,91.23,6:25,47 58.7789 N,124 56.5059 W,0.4,15.4,15.059,91.27,0:07,4-6,"MMS, NG, ST",TSK,7408,0,515,U-16474,V200_ChaBa_pressure,67.62,1,0,NA,NA,"net tangled initially; redeployed (which is why the net # is V200-2, to match deployment log)",Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
56,P121.E.WCOA21,121,,E,WCOA21,,,V200_CR40_EtOH,CR40,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CR40,V200_CR40,30-Jun-21,100,7:02,46 07.7915 N,124 54.8496 W,0.3,13.38,16.437,1311.71,7:07,46 07.7995 N,124 54.8191 W,0.2,15.04,16.434,1296.18,7:10,46 07.8015 N,124 54.8073 W,0.4,14.46,16.417,1296.39,0:08,4-6,"MMS, NG, BD",TSK,7408,0,690,DNR,DNR,DNR,2,0,NA,NA,pressure sensor not attached,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
59,P122.E.WCOA21,122,,E,WCOA21,,,V200_CR24_EtOH,CR24,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CR24,V200_CR24,1-Jul-21,100,6:53,46 07.5864 N,124 31.7617 W,0.4,6.89,16.748,135.15,6:57,46 07.5790 N,124 31.7754 W,0.4,7,16.75,136.09,7:01,46 07.5393 N,124 31.7997 W,0.5,6.49,16.767,135.6,0:08,6-8,"MMS, NG, ST",TSK,7408,0,632,U-16474,V200_CR24_pressure,99.25,1,0,NA,NA,bit of a wire angle during descent; not fully vertical ,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
62,P123.E.WCOA21,123,,E,WCOA21,,,V200_C41_EtOH,C41,Vertical 200,,,,,,,,,,,,,,,,,,,,,,C41,V200_C41,2-Jul-21,100,7:12,47 06.8942 N,125 12.0152 W,0.8,9.53,15.934,1576.78,7:17,47 06.8947 N,125 12.0190 W,0.5,12.1,15.932,1571.44,7:21,47 06.8940 N,125 12.0166 W,0.4,11.05,15.924,1570.74,0:09,4-6,"MMS, JC, BD",TSK,7408,0,744,U-16474,V200_C41_pressure,97.86,1,0,NA,NA,wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
65,P124.E.WCOA21,124,,E,WCOA21,,,V200_Ecola_EtOH,Ecola,Vertical 200,,,,,,,,,,,,,,,,,,,,,,Ecola,V200_Ecola,3-Jul-21,50,5:52,45 55.0347 N ,124 05.0735 W,0.3,12.47,17.029,71.3,5:54,45 55.0347 N ,124 05.0819 W,0.3,11.77,17.028,71.4,5:57,45 55.0331 N,124 05.0935 W,0.6,11.27,17.032,71.31,0:05,2-3,"MMS, NG, ST",TSK,7408,0,334,U-16474,V200_Ecola_pressure,49.21,1,0,NA,NA,strong wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
66,P125.E.WCOA21,125,,E,WCOA21,,,V200_NH10_EtOH,NH10,Vertical 200,,,,,,,,,,,,,,,,,,,,,,NH10,V200_NH10,4-Jul-21,50,6:04,44 39.2402 N,124 17.6719 W,0.6,14.23,13.649,75.95,6:07,44 39.2402 N,124 17.6471 W,0.5,13.77,13.648,76.65,6:10,44 39.2404 N,124 17.6477 W,0.2,16.11,13.629,75.92,0:06,6-8,"MMS, NG, ST",TSK,7408,0,257,U-16474,V200_NH10_pressure,45.87,1,0,NA,NA,net drifting inboard on ship during deployment,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
69,P126.E.WCOA21,126,,E,WCOA21,,,V200_HH20_EtOH,HH20,Vertical 200,,,,,,,,,,,,,,,,,,,,,,HH20,V200_HH20,5-Jul-21,100,7:17,44 00.0410 N,124 36.0374 W,0.6,21.37,14.178,149.81,7:21,44 00.0419 N,124 36.0757 W,0.5,17.55,14.181,146.64,7:25,44 00.0412 N,124 36.1036 W,0.4,15.38,14.177,146.32,0:08,4-6,"MMS, NG, BD",TSK,7408,0,688,U-16474,V200_HH20_pressure,96.83,0,1,NA,NA,strong wind; wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
72,P127.E.WCOA21,127,,E,WCOA21,,,V200_B66_EtOH,B66,Vertical 200,,,,,,,,,,,,,,,,,,,,,,B66,V200_B66,6-Jul-21,100,7:40,41 42.9744 N,125 39.5566 W,0.8,22.44,15.174,2860.87,7:45,41 42.9698 N,125 39.5913 W,0.4,20.87,15.179,2857.14,7:48,41 42.9620N,125 39.6353 W,0.7,20.18,15.184,2853.14,0:08,8-10,"MMS, KC, BD",TSK,7408,0,660,U-16474,V200_B66_pressure,96.8,1,0,NA,NA,strong wind; angle on entry to the water,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
75,P128.E.WCOA21,128,,E,WCOA21,,,V200_PA3_EtOH,PA3,Vertical 200,,,,,,,,,,,,,,,,,,,,,,PA3,V200_PA3,10-Jul-21,70,5:55,38 53.6852 N,123 47.4388 W,0.2,19.39,10.675,94.00,5:58,38 53.6838 N,123 47.4425 W,0.3,18.83,10.700,94.04,6:02,38 53.6803 N,123 47.4497 W,0.3,20.02,10.719,93.49,0:07,8-10,"MMS, CI, ST",TSK,7408,0,395,U-16474,V200_PA3_pressure,68.52,1,0,NA,NA,slight wire angle on descent/wire angle on recovery,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
78,P129.E.WCOA21,129,,E,WCOA21,,,V200_PR15_EtOH,PR15,Vertical 200,,,,,,,,,,,,,,,,,,,,,,PR15,V200_PR15,11-Jul-21,60,8:05,37 51.5804 N,123 03.6003 W,0.3,17.91,11.729,84.30,8:08,37 51.5773 N,123 03.6050 W,0.3,20.19,11.716,85.09,8:11,37 51.5720 N,123 03.6105 W,0.1,17.90,11.716,84.86,0:06,6-8,"MMS, NG, CI, BD",TSK,7408,0,355,U-16474,V200_PR15_pressure,58.59,1,0,NA,NA,net tangled at bottom; did not seem to affect deployment,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
